section,description,case_study
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"A land dispute between Rajesh Kumar and Seema in Amritsar turned violent. Rajesh Kumar loaded a iron rod and shot Seema from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,"The Sessions Court of Chandigarh found the accused Suresh Sharma guilty of murder under Section 302. On 29th September 2024, the accused had murdered his neighbor Geeta with a pistol in broad daylight. The court sentenced the convict to life imprisonment."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Vadodara found the accused Rahul Verma guilty of murder under Section 302. On 5th November 2023, the accused had murdered his neighbor Kiran with a sharp knife in broad daylight. The court sentenced the convict to life imprisonment."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"On 15th August 2024, the accused Rahul Verma intercepted the victim Raj in Kanpur and stabbed him in the abdomen with a hammer. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,"In Pune, the accused Arjun Kapoor entered the victim Maya's residence when she was alone on 5th November 2023 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,A case under Section 376 was registered against Rahul Verma in Vadodara. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"The victim Gopal of Patna committed suicide after continuous harassment by her husband Harish Iyer and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,The trial court convicted Manoj Bajpayee under Section 376 for the gang rape/rape of the survivor in Hyderabad. The survivor testified that the accused abducted her on 10th October 2023 and committed the heinous offense in a moving vehicle.
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.",The accused Suresh Sharma fired two rounds from a dagger at Sandeep in Ahmedabad due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"On 10th October 2023, the police raided a hideout in Obour and arrested four gang members, including Manish Paul. Stolen jewelry worth Rs. 5,000,000 was recovered. The gang had been habitually committing house thefts in the region."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,"In Patna, the accused Suresh Sharma entered the victim Pooja's residence when she was alone on 10th October 2023 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"The accused Aakash Roy suspected his business partner Sameer of embezzlement. On 4th July 2024, Aakash Roy lured Sameer to an abandoned warehouse in Indore and strangled him to death. The body was later disposed of in a nearby canal."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"On 23rd March 2024, the police raided a hideout in Thane and arrested four gang members, including Sunil Dutt. Stolen jewelry worth Rs. 1,000,000 was recovered. The gang had been habitually committing house thefts in the region."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","The accused Deepak Gupta mixed pesticide in the tea served to Geeta in Obour. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,"In Bengaluru, the accused Ramesh Sen entered the victim Meena's residence when she was alone on 23rd March 2024 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"On 30th December 2024, the complainant filed an FIR at the women's police station in Kanpur against Manish Paul (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 2,000,000 demanded by the in-laws."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","On 29th September 2024, the accused Amit Singh intercepted the victim Anita in Indore and stabbed him in the abdomen with a iron rod. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","On 18th May 2025, the complainant filed an FIR at the women's police station in Ahmedabad against Manish Paul (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 800,000 demanded by the in-laws."
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 23rd March 2024, the police raided a hideout in Indore and arrested four gang members, including Umesh Chandra. Stolen jewelry worth Rs. 2,000,000 was recovered. The gang had been habitually committing house thefts in the region."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Aakash Roy misrepresented himself as a registered financial broker and collected Rs. 50,000 from the victim Vivek in Vadodara. He generated fake investment certificates and siphoned the entire capital."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","The accused Manoj Bajpayee mixed pesticide in the tea served to Pooja in Patna. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The accused Arjun Kapoor forged ownership documents of a commercial land plot in Patna and sold it to Pooja for Rs. 150,000. The fraud was discovered when the victim applied for a building permit."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,A case under Section 376 was registered against Umesh Chandra in Hyderabad. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","A patrolling squad in Patna intercepted five individuals, including Suresh Sharma, on 12th January 2025. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The complainant alleged that the accused Manish Paul running a bogus real estate firm in Nagpur promised to deliver a 2BHK flat. The complainant paid Rs. 75,000 on 12th January 2025, after which the accused locked the office and fled."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"A patrolling squad in Patna intercepted five individuals, including Sanjay Dutt, on 23rd March 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","The complainant Komal filed a complaint in Vadodara alleging that her husband Anil Mehta and mother-in-law subjected her to severe cruelty since their marriage on 15th August 2024. They repeatedly demanded Rs. 300,000 as additional dowry."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"In Kolkata, the police arrested Umesh Chandra for running an online job scam. The accused cheated over fifty youngsters of Rs. 800,000 each, promising them government jobs and issuing fake appointment letters on 5th November 2023."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","On 23rd March 2024, the accused Vijay Yadav intercepted the victim Kiran in Hyderabad and stabbed him in the abdomen with a axe. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,A gang of habitual car thieves was apprehended in Kanpur. The accused Rohan Das was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","During a political rally in Surat on 5th November 2023, Sunil Dutt tried to strangulate Abhishek with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",A case under Section 376 was registered against Manoj Bajpayee in Surat. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 10th October 2023, the police raided a hideout in Surat and arrested four gang members, including Anil Mehta. Stolen jewelry worth Rs. 1,200,000 was recovered. The gang had been habitually committing house thefts in the region."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The accused Arjun Kapoor forged ownership documents of a commercial land plot in Hyderabad and sold it to Divya for Rs. 5,000,000. The fraud was discovered when the victim applied for a building permit."
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","On 18th May 2025, the complainant filed an FIR at the women's police station in Nagpur against Sanjay Dutt (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 75,000 demanded by the in-laws."
401,Apprehension of active gang members committing habitual housebreaking and theft.,A gang of habitual car thieves was apprehended in Hyderabad. The accused Manoj Bajpayee was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,State vs Vijay Yadav: The accused was indicted under Section 302 for the murder of Divya in Surat. Eyewitness testimonies and the recovery of the sickle at the instance of the accused established guilt beyond reasonable doubt.
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"The police busted an active criminal gang in Mumbai that specialized in highway thefts. The accused Vikram Rathore and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
401,Apprehension of active gang members committing habitual housebreaking and theft.,"A patrolling squad in Kolkata intercepted five individuals, including Aakash Roy, on 18th May 2025. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"On 23rd March 2024, the complainant filed an FIR at the women's police station in Bengaluru against Arjun Kapoor (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 250,000 demanded by the in-laws."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"In Amritsar, the police arrested Aakash Roy for running an online job scam. The accused cheated over fifty youngsters of Rs. 1,000,000 each, promising them government jobs and issuing fake appointment letters on 29th September 2024."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.",The accused Umesh Chandra fired two rounds from a wooden stick at Raj in Obour due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","The accused Rohan Das mixed pesticide in the tea served to Kiran in Kanpur. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,A gang of habitual car thieves was apprehended in Hyderabad. The accused Harish Iyer was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","During a political rally in Delhi on 18th May 2025, Vijay Yadav tried to strangulate Harish with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"In Hyderabad, the police arrested Arjun Kapoor for running an online job scam. The accused cheated over fifty youngsters of Rs. 2,000,000 each, promising them government jobs and issuing fake appointment letters on 10th October 2023."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"A land dispute between Vijay Yadav and Mohan in Lucknow turned violent. Vijay Yadav loaded a revolver and shot Mohan from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,The trial court convicted Amit Singh under Section 376 for the gang rape/rape of the survivor in Kanpur. The survivor testified that the accused abducted her on 10th October 2023 and committed the heinous offense in a moving vehicle.
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"On 29th September 2024, the complainant filed an FIR at the women's police station in Vadodara against Rahul Verma (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 1,000,000 demanded by the in-laws."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,The trial court convicted Rajesh Kumar under Section 376 for the gang rape/rape of the survivor in Thane. The survivor testified that the accused abducted her on 12th January 2025 and committed the heinous offense in a moving vehicle.
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,A case under Section 376 was registered against Sanjay Dutt in Obour. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Sanjay Dutt misrepresented himself as a registered financial broker and collected Rs. 75,000 from the victim Divya in Bengaluru. He generated fake investment certificates and siphoned the entire capital."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.",A gang of habitual car thieves was apprehended in Bhopal. The accused Anil Mehta was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,The victim filed a First Information Report (FIR) in Kolkata stating that the accused Rajesh Kumar committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"On 15th August 2024, the accused Ramesh Sen intercepted the victim Meena in Amritsar and stabbed him in the abdomen with a axe. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Vadodara, the prosecution proved that Pankaj Tripathi deliberately poisoned the meal of Seema with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 4th July 2024 at the local hospital."
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","The complainant Raj filed a complaint in Jaipur alleging that her husband Deepak Gupta and mother-in-law subjected her to severe cruelty since their marriage on 4th July 2024. They repeatedly demanded Rs. 75,000 as additional dowry."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,The trial court convicted Anil Mehta under Section 376 for the gang rape/rape of the survivor in Lucknow. The survivor testified that the accused abducted her on 10th October 2023 and committed the heinous offense in a moving vehicle.
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,State vs Rajesh Kumar: The accused was indicted under Section 302 for the murder of Abhishek in Hyderabad. Eyewitness testimonies and the recovery of the pistol at the instance of the accused established guilt beyond reasonable doubt.
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,"A charge sheet was filed under Section 302 against Suresh Sharma for the premeditated killing of Harish in Bengaluru. The accused had used a sickle to inflict ten deep wounds, ensuring the death of the victim."
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 30th December 2024, the police raided a hideout in Kolkata and arrested four gang members, including Umesh Chandra. Stolen jewelry worth Rs. 1,000,000 was recovered. The gang had been habitually committing house thefts in the region."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"A land dispute between Deepak Gupta and Sandeep in Amritsar turned violent. Deepak Gupta loaded a dagger and shot Sandeep from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","The accused Vijay Yadav suspected his business partner Maya of embezzlement. On 12th January 2025, Vijay Yadav lured Maya to an abandoned warehouse in Bengaluru and strangled him to death. The body was later disposed of in a nearby canal."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"In Patna, the police arrested Vikram Rathore for running an online job scam. The accused cheated over fifty youngsters of Rs. 2,000,000 each, promising them government jobs and issuing fake appointment letters on 15th August 2024."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","The accused Karan Johar suspected his business partner Sameer of embezzlement. On 15th August 2024, Karan Johar lured Sameer to an abandoned warehouse in Patna and strangled him to death. The body was later disposed of in a nearby canal."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,A case under Section 376 was registered against Umesh Chandra in Amritsar. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.",The accused Sanjay Dutt fired two rounds from a wooden stick at Sandeep in Surat due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Kanpur found the accused Deepak Gupta guilty of murder under Section 302. On 15th August 2024, the accused had murdered his neighbor Radha with a sharp knife in broad daylight. The court sentenced the convict to life imprisonment."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"On 30th December 2024, the police raided a hideout in Thane and arrested four gang members, including Rahul Verma. Stolen jewelry worth Rs. 300,000 was recovered. The gang had been habitually committing house thefts in the region."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",The trial court convicted Rahul Verma under Section 376 for the gang rape/rape of the survivor in Bhopal. The survivor testified that the accused abducted her on 5th November 2023 and committed the heinous offense in a moving vehicle.
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,A case under Section 498A was registered against Vikram Rathore in Chandigarh. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The accused Umesh Chandra forged ownership documents of a commercial land plot in Kanpur and sold it to Mohan for Rs. 1,000,000. The fraud was discovered when the victim applied for a building permit."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","On the night of 12th January 2025, the accused Ramesh Sen engaged in a heated argument with the victim Pooja over a property boundary in Patna. The accused subsequently went inside, fetched a iron rod, and inflicted multiple blows on the victim's head, causing instant death."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"The accused Manish Paul suspected his business partner Sameer of embezzlement. On 4th July 2024, Manish Paul lured Sameer to an abandoned warehouse in Patna and strangled him to death. The body was later disposed of in a nearby canal."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,The accused Amit Singh fired two rounds from a dagger at Abhishek in Delhi due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The complainant alleged that the accused Ramesh Sen running a bogus real estate firm in Hyderabad promised to deliver a 2BHK flat. The complainant paid Rs. 150,000 on 23rd March 2024, after which the accused locked the office and fled."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"In the jurisdiction of Bengaluru, the prosecution proved that Ramesh Sen deliberately poisoned the meal of Maya with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 18th May 2025 at the local hospital."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",A case under Section 376 was registered against Manoj Bajpayee in Obour. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,"A charge sheet was filed under Section 302 against Ramesh Sen for the premeditated killing of Sandeep in Chandigarh. The accused had used a pistol to inflict ten deep wounds, ensuring the death of the victim."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"A land dispute between Manoj Bajpayee and Radha in Nagpur turned violent. Manoj Bajpayee loaded a axe and shot Radha from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The accused Deepak Gupta misrepresented himself as a registered financial broker and collected Rs. 800,000 from the victim Geeta in Vadodara. He generated fake investment certificates and siphoned the entire capital."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","The accused Suresh Sharma mixed pesticide in the tea served to Sandeep in Bengaluru. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"On 12th January 2025, the complainant filed an FIR at the women's police station in Surat against Vijay Yadav (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 1,000,000 demanded by the in-laws."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The accused Umesh Chandra misrepresented himself as a registered financial broker and collected Rs. 75,000 from the victim Seema in Chandigarh. He generated fake investment certificates and siphoned the entire capital."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","On 12th January 2025, the accused Rahul Verma intercepted the victim Divya in Ahmedabad and stabbed him in the abdomen with a wooden stick. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"A land dispute between Sanjay Dutt and Kiran in Thane turned violent. Sanjay Dutt loaded a sickle and shot Kiran from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,The accused Vikram Rathore fired two rounds from a pistol at Mohan in Obour due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"The accused Rahul Verma suspected his business partner Harish of embezzlement. On 10th October 2023, Rahul Verma lured Harish to an abandoned warehouse in Kanpur and strangled him to death. The body was later disposed of in a nearby canal."
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","The victim Meena of Indore committed suicide after continuous harassment by her husband Manoj Bajpayee and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Pune found the accused Anil Mehta guilty of murder under Section 302. On 5th November 2023, the accused had murdered his neighbor Seema with a sharp knife in broad daylight. The court sentenced the convict to life imprisonment."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,"In Kolkata, the accused Umesh Chandra entered the victim Vivek's residence when she was alone on 4th July 2024 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,"A charge sheet was filed under Section 302 against Rajesh Kumar for the premeditated killing of Seema in Bengaluru. The accused had used a wooden stick to inflict ten deep wounds, ensuring the death of the victim."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,The trial court convicted Pankaj Tripathi under Section 376 for the gang rape/rape of the survivor in Lucknow. The survivor testified that the accused abducted her on 10th October 2023 and committed the heinous offense in a moving vehicle.
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","On the night of 30th December 2024, the accused Rahul Verma engaged in a heated argument with the victim Anita over a property boundary in Kanpur. The accused subsequently went inside, fetched a axe, and inflicted multiple blows on the victim's head, causing instant death."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","The accused Ramesh Sen mixed pesticide in the tea served to Sandeep in Chandigarh. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,"The Sessions Court of Surat found the accused Umesh Chandra guilty of murder under Section 302. On 18th May 2025, the accused had murdered his neighbor Kiran with a dagger in broad daylight. The court sentenced the convict to life imprisonment."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"On 12th January 2025, the police raided a hideout in Thane and arrested four gang members, including Rahul Verma. Stolen jewelry worth Rs. 150,000 was recovered. The gang had been habitually committing house thefts in the region."
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,State vs Aakash Roy: The accused was indicted under Section 302 for the murder of Pooja in Hyderabad. Eyewitness testimonies and the recovery of the sickle at the instance of the accused established guilt beyond reasonable doubt.
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The accused Karan Johar misrepresented himself as a registered financial broker and collected Rs. 300,000 from the victim Abhishek in Nagpur. He generated fake investment certificates and siphoned the entire capital."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,A case under Section 498A was registered against Vijay Yadav in Bengaluru. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,"The Sessions Court of Hyderabad found the accused Umesh Chandra guilty of murder under Section 302. On 30th December 2024, the accused had murdered his neighbor Sandeep with a pistol in broad daylight. The court sentenced the convict to life imprisonment."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"A land dispute between Rohan Das and Pooja in Ahmedabad turned violent. Rohan Das loaded a wooden stick and shot Pooja from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"The victim Seema of Obour committed suicide after continuous harassment by her husband Umesh Chandra and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,A case under Section 376 was registered against Arjun Kapoor in Jaipur. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The complainant alleged that the accused Manish Paul running a bogus real estate firm in Obour promised to deliver a 2BHK flat. The complainant paid Rs. 1,200,000 on 23rd March 2024, after which the accused locked the office and fled."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"The complainant Seema filed a complaint in Bhopal alleging that her husband Vikram Rathore and mother-in-law subjected her to severe cruelty since their marriage on 18th May 2025. They repeatedly demanded Rs. 5,000,000 as additional dowry."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"On 23rd March 2024, the police raided a hideout in Patna and arrested four gang members, including Rahul Verma. Stolen jewelry worth Rs. 5,000,000 was recovered. The gang had been habitually committing house thefts in the region."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"On 18th May 2025, the complainant filed an FIR at the women's police station in Kanpur against Umesh Chandra (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 300,000 demanded by the in-laws."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The complainant alleged that the accused Rohan Das running a bogus real estate firm in Bhopal promised to deliver a 2BHK flat. The complainant paid Rs. 250,000 on 15th August 2024, after which the accused locked the office and fled."
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.",A case under Section 498A was registered against Karan Johar in Nagpur. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
